epoch,train_loss,train_dice_coef,val_loss,val_dice_coef,lr
1,2.275101846456528,0.18299065120518207,1.5383482575416565,0.3769563019275665,0.0001
2,1.329429891705513,0.4500201240181923,1.0618178367614746,0.5710694968700409,8.912509381337456e-05
3,1.0294702172279357,0.5715567275881768,0.9082665622234345,0.6395226418972015,7.943282347242815e-05
4,0.8768469020724297,0.6254528149962425,0.7905145645141601,0.6666986227035523,7.07945784384138e-05
5,0.7775385871529579,0.6627246364951134,0.7079386562108994,0.71096111536026,6.309573444801933e-05
6,0.6817254215478897,0.6938739717006683,0.6357546031475068,0.7265726864337921,5.623413251903491e-05
7,0.6210689149796963,0.7191119477152824,0.6000718742609024,0.743755716085434,5.011872336272724e-05
8,0.555250083655119,0.7440445184707641,0.5724293231964112,0.7484067380428314,4.4668359215096314e-05
9,0.5198712922632694,0.7535383716225624,0.541793817281723,0.7647623479366302,3.981071705534973e-05
10,0.4839307598769665,0.768331827223301,0.5293479025363922,0.7737945497035981,3.548133892335755e-05
11,0.4471620127558708,0.7814114436507225,0.5061201810836792,0.7805800378322602,3.1622776601683795e-05
12,0.4104037545621395,0.7971460297703743,0.5065609723329544,0.7944494664669037,2.818382931264454e-05
13,0.38537110984325407,0.811316528916359,0.49119574427604673,0.7993200838565826,2.51188643150958e-05
14,0.353877105563879,0.8254798084497452,0.4674376279115677,0.8057018637657165,2.2387211385683396e-05
15,0.33315315991640093,0.8340143978595733,0.46534095108509066,0.8146665155887604,1.99526231496888e-05
16,0.31442825607955455,0.8440073177218437,0.4603083789348602,0.8187460362911224,1.778279410038923e-05
17,0.3022044148296118,0.8487068608403205,0.46024576127529143,0.8226816594600678,1.5848931924611134e-05
18,0.29242991879582403,0.852967557311058,0.45892094969749453,0.8236922025680542,1.4125375446227545e-05
19,0.28081645518541337,0.8573968917131424,0.45328726768493655,0.8220365822315217,1.2589254117941673e-05
20,0.2831211246550083,0.8544850394129753,0.46040682792663573,0.8264356076717376,1.1220184543019637e-05
